function,description,sqliteDbAverage (ns),mockDbAverage (ns)
!=,"(!= longNumber longNumber)
",5724.757894309411,5691.526009286451
!=,"(!= medNumber medNumber)
",5721.5721376345855,5643.895403950376
!=,"(!= smallNumber smallNumber)
",5572.950911281224,5632.350846492153
!=,"(!= longString longString)
",6578.08960235235,6559.564582388431
!=,"(!= medString medString)
",5637.20343809701,5596.754330400708
!=,"(!= smallString smallString)
",5189.049703634234,5209.372894187169
!=,"(!= longNumber.0 longNumber.0)
",5662.78078417274,5681.85351995979
!=,"(!= medNumber.0 medNumber.0)
",5688.662729275397,5514.769542114328
!=,"(!= smallNumber.0 smallNumber.0)
",5671.882701971699,5687.832175939212
!=,"(!= longNumberList longNumberList)
",9034068.574263627,8862011.051568137
!=,"(!= medNumberList medNumberList)
",43593.79341063651,43218.31687770761
!=,"(!= smallNumberList smallNumberList)
",11082.16355536441,11036.808488607692
!=,"(!= longOjectMap longOjectMap)
",2.8957249978852835e7,2.9305723453231394e7
!=,"(!= medOjectMap medOjectMap)
",68471.68633253755,67688.1619130032
!=,"(!= smallOjectMap smallOjectMap)
",12020.070753551161,11970.901123873571
&,"(& longNumber longNumber)
",5139.787582114235,5197.181636105399
&,"(& medNumber medNumber)
",5167.347574022712,5186.038815239083
&,"(& smallNumber smallNumber)
",5078.090650691557,5196.006161654851
*,"(* longNumber longNumber)
",5498.801783093718,5488.67235651578
*,"(* medNumber medNumber)
",5542.84473381766,5462.15225786722
*,"(* smallNumber smallNumber)
",5508.240931146131,5467.513841049866
*,"(* longNumber.0 longNumber.0)
",13578.252953882118,13462.782439441855
*,"(* medNumber.0 medNumber.0)
",13855.709271758213,13631.968012497347
*,"(* smallNumber.0 smallNumber.0)
",13735.775236351627,13656.745670924092
*,"(* longNumber.0 longNumber)
",13444.774190306283,13660.616554015554
*,"(* medNumber.0 medNumber)
",13626.432359364422,13373.58240071698
*,"(* smallNumber.0 smallNumber)
",13544.45574570916,13136.404945465352
+,"(+ longNumber longNumber)
",5550.623274308874,5496.394884332348
+,"(+ medNumber medNumber)
",5534.3567199605795,5517.227192821544
+,"(+ smallNumber smallNumber)
",5258.089691042962,5363.999415576932
+,"(+ longNumber.0 longNumber.0)
",5793.379210835735,5757.163463239526
+,"(+ medNumber.0 medNumber.0)
",5736.957921950394,5793.033666219922
+,"(+ smallNumber.0 smallNumber.0)
",5449.048509952053,5754.168096008808
+,"(+ longNumber.0 longNumber)
",6059.447626671298,6051.867545695928
+,"(+ medNumber.0 medNumber)
",6020.4912150469545,6028.806081297105
+,"(+ smallNumber.0 smallNumber)
",6026.603591791284,6007.8450384463185
+,"(+ longString longString)
",8967.880076320655,8686.003306221573
+,"(+ medString medString)
",5394.924994703827,5705.640313460249
+,"(+ smallString smallString)
",5781.132118597831,5723.023858704973
+,"(+ longOjectMap longOjectMap)
",2.8759804293607276e7,2.8311248048227802e7
+,"(+ medOjectMap medOjectMap)
",68391.82289608828,67954.57829441245
+,"(+ smallOjectMap smallOjectMap)
",12635.583715862003,12484.138030556045
-,"(- longNumber longNumber)
",5294.965878715957,5272.745869228953
-,"(- medNumber medNumber)
",5271.146502432982,5241.880275789625
-,"(- smallNumber smallNumber)
",5257.1323824731335,5269.080433855208
-,"(- longNumber.0 longNumber.0)
",5735.611668071419,5729.319300078482
-,"(- medNumber.0 medNumber.0)
",5714.439099838935,5695.401273196981
-,"(- smallNumber.0 smallNumber.0)
",5772.283341016391,5711.484272477671
-,"(- longNumber.0 longNumber)
",6250.106340261485,6101.0798682013665
-,"(- medNumber.0 medNumber)
",6251.912451941441,6298.775830838461
-,"(- smallNumber.0 smallNumber)
",6189.82050248792,6206.1506711424345
-,"(- longNumber)
",5324.0880992142775,5279.404190966073
-,"(- medNumber)
",5336.96353816652,5354.687649541174
-,"(- smallNumber)
",5325.704415084304,5294.024575924747
-,"(- longNumber.0)
",5120.793655840381,5200.891514911776
-,"(- medNumber.0)
",5274.562686348571,5268.538192607152
-,"(- smallNumber.0)
",5324.191843524689,5312.719969080096
/,"(/ longNumber longNumber)
",5386.403108964397,5340.69316751009
/,"(/ medNumber medNumber)
",5403.14362430602,5356.450358245745
/,"(/ smallNumber smallNumber)
",5397.226538001033,5260.916071695555
/,"(/ longNumber.0 longNumber.0)
",13474.457521121105,13507.376968277924
/,"(/ medNumber.0 medNumber.0)
",13461.308483838946,13325.597916817065
/,"(/ smallNumber.0 smallNumber.0)
",13135.317070301287,13207.88066250826
/,"(/ longNumber.0 longNumber)
",13311.056750089641,13173.729042130615
/,"(/ medNumber.0 medNumber)
",13016.369931185369,12872.311144239558
/,"(/ smallNumber.0 smallNumber)
",12992.853387164216,13143.083147306861
<,"(< longNumber longNumber)
",5592.177989541794,5569.406568984986
<,"(< medNumber medNumber)
",5546.104860850913,5552.020601574267
<,"(< smallNumber smallNumber)
",5530.42326036653,5442.6333275891675
<,"(< longNumber.0 longNumber.0)
",5739.792336570837,5481.352290204748
<,"(< medNumber.0 medNumber.0)
",5752.601972911278,5741.063014052271
<,"(< smallNumber.0 smallNumber.0)
",5498.368131675529,5621.48745420379
<,"(< longString longString)
",32221.993665302954,31956.11460861817
<,"(< medString medString)
",5855.440116224327,5812.0995922429
<,"(< smallString smallString)
",5642.156553850259,5551.939115525257
<,"(< (time ""2016-07-22T12:00:00Z"") (time ""2018-07-22T12:00:00Z""))
",13343.405815458123,13388.923175201553
<=,"(<= longNumber longNumber)
",5708.718363794105,5709.202402100892
<=,"(<= medNumber medNumber)
",5746.04916293636,5780.539889757728
<=,"(<= smallNumber smallNumber)
",5724.666886341737,5728.251238542686
<=,"(<= longNumber.0 longNumber.0)
",5555.820068297394,5541.9860056627185
<=,"(<= medNumber.0 medNumber.0)
",5614.097985031414,5510.629436955341
<=,"(<= smallNumber.0 smallNumber.0)
",5591.946056084697,5553.6144842505355
<=,"(<= longString longString)
",32521.135175538937,32440.047795814986
<=,"(<= medString medString)
",6004.041808427927,6025.983366823431
<=,"(<= smallString smallString)
",5659.802728177092,5686.05627692006
<=,"(<= (time ""2016-07-22T12:00:00Z"") (time ""2018-07-22T12:00:00Z""))
",13648.709516364717,13534.140483709823
=,"(= longNumber longNumber)
",5702.965682132061,5715.0386425381175
=,"(= medNumber medNumber)
",5710.803889592621,5693.515379930373
=,"(= smallNumber smallNumber)
",5766.321254616066,5709.298728581398
=,"(= longNumber.0 longNumber.0)
",5641.691912290759,5645.38845134279
=,"(= medNumber.0 medNumber.0)
",5664.340976031014,5677.9002290140825
=,"(= smallNumber.0 smallNumber.0)
",5656.041674630931,5644.996912485577
=,"(= longString longString)
",6605.050655460515,6678.716949641828
=,"(= medString medString)
",5230.816881199342,5225.5613909997455
=,"(= smallString smallString)
",5631.252359831839,5646.544204118916
=,"(= longOjectMap longOjectMap)
",2.8359743132164225e7,2.8769935693267643e7
=,"(= medOjectMap medOjectMap)
",68344.6388666217,67837.45394264728
=,"(= smallOjectMap smallOjectMap)
",11935.73684955144,11940.299319372423
=,"(= longNumberList longNumberList)
",9104408.093457317,8928488.564314766
=,"(= medNumberList medNumberList)
",43494.16229850728,42890.2473775301
=,"(= smallNumberList smallNumberList)
",11144.273590406277,11249.337497894825
=,"(= (time ""2016-07-22T12:00:00Z"") (time ""2018-07-22T12:00:00Z""))
",13217.46259435472,13154.992644587515
>,"(> longNumber longNumber)
",5465.257488045187,5566.030392399846
