Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
parse/longStr 10,1.2706723966305273e-6,1.2610938887670488e-6,1.2810581133497144e-6,3.2759699940922384e-8,2.7230162490281683e-8,3.919031606201739e-8
parse/longStr 100,3.437069470058659e-6,3.4167564750990294e-6,3.462899730220427e-6,7.795656334670083e-8,6.307954720292653e-8,1.1043832414880018e-7
parse/longStr 1000,2.9494307050054727e-5,2.924709357281096e-5,2.9884417760777534e-5,1.0173080704443425e-6,6.716148627014015e-7,1.423040351325157e-6
parse/(+ 1 2),3.5923629524741267e-6,3.5510763336292347e-6,3.6352342638402883e-6,1.360643665353322e-7,1.1244916379227956e-7,1.7312279318890963e-7
parse/(+ 1 (+ 1 2)),5.928318646563882e-6,5.864672456099975e-6,5.989872340310879e-6,2.0562839236698627e-7,1.7978380628615237e-7,2.3660660864923977e-7
"parse/(demo.transfer ""Acct1"" ""Acct2"" 1.00)",5.747897689829904e-6,5.6959120152086725e-6,5.82831521398336e-6,2.1758542392519106e-7,1.5024764277614935e-7,3.310245970297531e-7
parse/(+ 1 2) (foo.bar true -23.345875),7.767035975293906e-6,7.687155830200134e-6,7.856558633835189e-6,2.78102173211715e-7,2.394107138570282e-7,3.375997623875792e-7
compile/longStr 10,7.300462819886381e-7,7.251446063493967e-7,7.374557273330271e-7,2.045576554965328e-8,1.4845948458632791e-8,2.8306636110216235e-8
compile/longStr 100,1.8335861688682917e-6,1.8191127818308317e-6,1.8532364764625315e-6,5.5060488922620673e-8,4.183662504949868e-8,8.186731909926945e-8
compile/longStr 1000,1.2916227891085817e-5,1.279887032171662e-5,1.3042284006084846e-5,4.173166895756449e-7,3.3817449127353076e-7,5.110144831812232e-7
compile/(+ 1 2),3.367974127690088e-6,3.3447637021480427e-6,3.3932461711749435e-6,7.77790135761678e-8,6.625840937941824e-8,9.575186572478634e-8
compile/(+ 1 (+ 1 2)),6.1503611849639e-6,6.113733329601116e-6,6.188861445365307e-6,1.2229963832331077e-7,9.953205634481762e-8,1.5560857453837683e-7
"compile/(demo.transfer ""Acct1"" ""Acct2"" 1.00)",5.423038064485725e-6,5.379010437242532e-6,5.4767437027505524e-6,1.630689099645416e-7,1.3368144719126946e-7,2.0675639290974244e-7
compile/(+ 1 2) (foo.bar true -23.345875),8.062356937373748e-6,8.011898749398314e-6,8.108497259160612e-6,1.6188439304741327e-7,1.3187962396622242e-7,2.0806656883281373e-7
